subcategory_1,subcategory_2,similarity
Events,Zoos & Aquariums,0.22984445095062256
Museums,Outdoor Activities,0.22767317295074463
Concerts & Shows,Events,0.22601813077926636
Outdoor Activities,Transportation,0.2236936390399933
Events,Nature & Parks,0.22255468368530273
Concerts & Shows,Tours,0.22077137231826782
Museums,Water & Amusement Parks,0.21950030326843262
Nature & Parks,Nightlife,0.21783797442913055
Concerts & Shows,Museums,0.217422217130661
Casinos & Gambling,Events,0.21724002063274384
Fun & Games,Nightlife,0.21651393175125122
Events,Spas & Wellness,0.2161598801612854
Museums,Spas & Wellness,0.214959055185318
Fun & Games,Tours,0.21472853422164917
Classes & Workshops,Museums,0.21375466883182526
Tours,Water & Amusement Parks,0.21228837966918945
Nightlife,Outdoor Activities,0.21144446730613708
Food & Drink,Water & Amusement Parks,0.2106660157442093
Shopping,Tours,0.2027854025363922
Classes & Workshops,Fun & Games,0.1995125710964203
Concerts & Shows,Shopping,0.19817796349525452
Nightlife,Traveler Resources,0.19683027267456055
Classes & Workshops,Water & Amusement Parks,0.19482162594795227
Nature & Parks,Traveler Resources,0.19013944268226624
Boat Tours & Water Sports,Events,0.18819351494312286
Classes & Workshops,Shopping,0.18502146005630493
Concerts & Shows,Traveler Resources,0.18181198835372925
Classes & Workshops,Nightlife,0.18007057905197144
Classes & Workshops,Concerts & Shows,0.1796068251132965
Concerts & Shows,Nightlife,0.17897218465805054
Outdoor Activities,Water & Amusement Parks,0.1788758784532547
Events,Nightlife,0.1783662885427475
Fun & Games,Museums,0.17834840714931488
Nightlife,Sights & Landmarks,0.1740308403968811
Events,Museums,0.1709892749786377
Events,Transportation,0.17021940648555756
Food & Drink,Traveler Resources,0.16512644290924072
Concerts & Shows,Outdoor Activities,0.16503411531448364
Museums,Transportation,0.1627979576587677
Concerts & Shows,Transportation,0.16261598467826843
Traveler Resources,Water & Amusement Parks,0.15998516976833344
Events,Fun & Games,0.15537096560001373
Museums,Nightlife,0.15346382558345795
Classes & Workshops,Transportation,0.15136785805225372
Classes & Workshops,Food & Drink,0.1496896892786026
Sights & Landmarks,Transportation,0.14783132076263428
Other,Outdoor Activities,0.1325700283050537
Nightlife,Shopping,0.12850138545036316
Events,Outdoor Activities,0.1272922158241272
Food & Drink,Museums,0.12670475244522095
Events,Shopping,0.12359805405139923
Food & Drink,Transportation,0.09594971686601639
Events,Other,0.09209863841533661
Other,Transportation,0.08963868767023087
Food & Drink,Tours,0.08473427593708038
Events,Tours,0.08072511106729507
Other,Tours,0.07849420607089996
Concerts & Shows,Food & Drink,0.07486142218112946
Other,Zoos & Aquariums,0.07480469346046448
Classes & Workshops,Other,0.07160621881484985
Other,Traveler Resources,0.07053117454051971
Events,Sights & Landmarks,0.06792950630187988
Other,Shopping,0.06378446519374847
Museums,Other,0.05039312317967415
Events,Food & Drink,0.05003877729177475
Nightlife,Other,0.04803777486085892
Food & Drink,Other,0.041646599769592285
Events,Traveler Resources,0.03412061557173729
Other,Spas & Wellness,0.03130248561501503
Fun & Games,Other,0.022812766954302788
Nature & Parks,Other,0.013359781354665756
Casinos & Gambling,Other,0.0028208582662045956
Food & Drink,Nightlife,-0.00017022248357534409
Other,Sights & Landmarks,-0.03526105731725693
Other,Water & Amusement Parks,-0.037471555173397064
Concerts & Shows,Other,-0.04205258935689926
Boat Tours & Water Sports,Other,-0.04928784444928169
